GeneID	WT1	WT2	ddm1	ddm2
AT5G19010	23.074562	22.272499	22.504185	22.101614
AT5G19015	0.000000	0.000000	285.090179	239.704453
AT5G19020	1.730033	1.573166	1.793349	1.785908
AT5G19025	3.926353	4.490207	4.945813	3.746303
AT5G19030	14.646826	14.054288	12.075687	14.091602
AT5G19040	2.003446	1.467154	1.988808	1.184441
AT5G19050	14.985329	16.644035	15.088428	15.092818
AT5G19060	0.660505	0.631664	0.775445	0.735259
AT5G19070	9.092944	10.590235	10.464793	9.806203
AT5G19080	4.951190	5.742188	5.645391	4.019899
AT5G19090	22.789268	25.496389	24.472542	19.082418
AT5G19095	0.0	0.000000	0.0	0.0
AT5G19097	0.192717	0.289618	16.457254	14.308361
AT5G19100	1.831993	1.743605	1.184498	1.536138
AT5G19110	3.218337	5.558112	7.799703	4.509827
AT5G19120	189.341400	165.788223	94.279472	100.675201
AT5G19130	7.307513	8.203196	8.174730	6.824129
AT5G19140	346.244019	309.971771	179.754990	184.503586
AT5G19150	14.206584	11.649307	12.800041	10.627941
AT5G19151	8.360756	6.094902	7.257936	5.652664
AT5G19160	0.332074	0.701909	0.501558	0.703888
AT5G19165	0.0	0.0	1.495479	1.556213
AT5G19170	3.631106	1.927917	1.877271	1.757263
AT5G19172	0.0	0.0	0.0	0.0
AT5G19175	0.0	0.0	0.0	0.0
AT5G19180	35.291710	30.493668	26.531420	28.843302
AT5G19190	573.459106	514.881531	275.026733	366.039429
AT5G19200	7.836597	7.221586	7.630676	9.468494
AT5G19210	4.831027	4.073749	3.719700	4.167755
AT5G19220	112.973778	101.413368	91.972328	97.566193
AT5G19221	1.653566	1.628595	1.060834	1.452640
AT5G19230	22.733419	38.182796	50.008533	64.087593
AT5G19240	50.517475	54.035339	154.650650	156.223633
AT5G19250	13.625717	18.130875	25.133677	23.292213
AT5G19257	0.0	0.0	0.0	0.203054
AT5G19260	3.110612	2.860320	3.725577	2.559031
AT5G19270	0.0	0.0	0.0	0.0
AT5G19280	13.843678	15.131040	10.793102	12.182821
AT5G19290	53.720936	50.391651	51.792744	46.870392
AT5G19300	4.381067	5.837657	6.061290	5.055758
AT5G19310	6.029674	4.693111	3.330494	3.170864
AT5G19315	0.0	0.0	0.0	0.0
AT5G19320	5.843575	6.822803	6.784989	5.823882
AT5G19330	32.868813	37.520649	35.455219	32.123764
AT5G19340	7.870213	8.481783	12.644298	13.585800
AT5G19350	36.737656	31.462147	26.966066	28.492266
AT5G19360	0.000000	0.025687	0.000000	0.0
AT5G19370	31.127211	38.991570	35.076923	34.198288
AT5G19380	4.892336	5.170865	6.484854	4.735623
AT5G19390	25.717894	27.357458	23.424934	23.417566
AT5G19400	16.433037	22.697018	21.346159	20.158583
AT5G19410	0.689327	1.724598	2.236660	2.213892
AT5G19420	3.555198	4.429757	3.030522	2.711552
AT5G19430	25.138802	21.865770	16.883362	17.445526
AT5G19440	33.253651	53.535030	68.574059	60.540085
AT5G19450	30.686834	27.624411	20.368465	21.157932
AT5G19460	9.446457	10.032197	9.478506	9.155936
AT5G19470	0.482256	0.353868	1.950801	0.809483
AT5G19473	0.0	0.0	0.0	0.0
AT5G19480	32.118103	26.626957	21.937283	20.740866
AT5G19485	10.925783	11.465993	9.717216	10.287587
AT5G19490	2.828900	2.030292	0.584440	1.975687
AT5G19500	11.970836	10.937510	10.228230	9.325154
AT5G19510	364.219757	316.829132	307.447357	337.583954
AT5G19520	2.898032	5.098659	8.387097	7.013129
AT5G19530	25.599464	30.777363	19.399395	17.589436
AT5G19540	31.543091	30.259861	20.856209	24.907087
AT5G19550	23.955156	31.272516	42.176586	44.070290
AT5G19560	0.248981	0.447144	0.287138	0.532738
AT5G19570	17.204439	18.492308	15.043688	12.315211
AT5G19580	1.786777	3.067765	1.872722	2.694523
AT5G19590	143.774765	129.338776	147.416672	153.432953
AT5G19600	6.025346	7.609675	5.322669	6.632310
AT5G19610	0.0	0.0	0.0	0.0
AT5G19620	12.258022	11.866520	11.813143	11.068377
AT5G19630	9.962961	13.060092	10.577691	11.272267
