GeneID	WT1	WT2	ddm1	ddm2
AT1G03570	0	0	0	0
AT1G03580	0.199996	0.394943	0.221977	0.235636
AT1G03590	15.7445	17.0324	15.7831	18.6598
AT1G03600	271.503	329.827	277.595	306.971
AT1G03610	28.316	32.2757	20.0146	18.8192
AT1G03620	1.01677	0.682675	1.18494	0.872801
AT1G03630	91.4537	95.3931	114.843	92.9878
AT1G03640	0	0	0	0
AT1G03650	1.47145	2.32459	2.21419	2.00038
AT1G03660	0.805852	0.424362	0.447209	0.271273
AT1G03670	0.121807	0.0481077	0.0506978	0.0205019
AT1G03680	358.835	391.424	379.261	344.106
AT1G03687	3.88641	4.35281	4.15259	3.98342
AT1G03700	2.36612	1.68813	1.33426	1.31038
AT1G03710	0.309082	0.292973	0.668952	0.686706
AT1G03720	0	0	0	0
AT1G03730	2.24108	2.99108	2.9913	2.38031
AT1G03740	3.18777	3.6361	2.96053	3.16178
AT1G03743	425.817	168.177	118.154	716.713
AT1G03746	0	31.775	16.7429	142.185
AT1G03750	1.32255	1.52439	1.50535	1.71724
AT1G03760	2.52444	2.93507	3.63615	3.00772
AT1G03770	2.4945	4.24105	2.96642	3.11895
AT1G03780	3.73613	3.63218	5.24079	4.1794
AT1G03790	5.51785	10.9157	3.19086	2.7862
AT1G03800	0.187177	0.197135	0.207749	0.315047
AT1G03810	0	0	0.483166	0
AT1G03820	10.4727	9.03541	12.7805	16.3779
AT1G03830	1.28224	1.24303	1.21356	1.10758
AT1G03840	2.57152	2.81973	0.703348	1.57184
AT1G03850	11.484	15.0504	7.72164	12.0165
AT1G03860	59.1059	56.8992	67.9047	56.6293
AT1G03870	415.344	356.446	463.276	357.101
AT1G03880	0.0467843	0.0554323	0.837307	0.566962
AT1G03890	0	0	0.0845628	0
AT1G03900	27.1826	25.8773	25.0889	22.9044
AT1G03905	2.92232	3.04026	1.86897	2.51933
AT1G03910	17.6392	22.3669	15.8494	17.8362
AT1G03920	0.352792	0.586674	0.61826	0.825069
AT1G03930	3.82454	4.8039	3.87519	4.22643
AT1G03935	0	0	0	0
AT1G03940	0.229438	0.463151	0.509308	0.283197
AT1G03950	9.20126	14.0406	9.99202	11.6153
AT1G03960	1.13191	1.14281	1.02107	1.04817
AT1G03970	10.2233	10.6461	9.98247	11.8962
AT1G03980	5.83359	6.1811	6.63137	8.20344
AT1G03982	0	0	0	0
AT1G03990	0.984233	1.32548	0.631266	0.260712
AT1G04000	3.04928	3.77568	2.70981	1.87262
AT1G04010	1.03627	0.975041	0.520111	0.52326
AT1G04020	2.3201	2.23193	2.97116	2.23358
AT1G04030	1.18105	1.68889	1.2374	1.4395
AT1G04040	101.9	106.278	70.1372	89.1711
AT1G04050	0.961275	1.00529	0.811463	0.888742
AT1G04070	29.2514	29.3405	21.5797	23.6794
AT1G04080	20.1813	22.4924	21.2677	20.0384
AT1G04090	0.0569672	0.104996	0.173877	0.191768
AT1G04100	2.67229	3.49294	2.46283	2.28106
AT1G04110	2.28347	1.82859	4.65374	3.43521
AT1G04120	8.8685	8.57977	9.76079	8.86956
AT1G04130	6.31485	5.7957	8.31052	7.68311
AT1G04140	10.122	10.3133	11.7083	11.7082
AT1G04150	0.0708148	0.16781	0.0785976	0.107272
AT1G04160	1.37809	1.42066	1.48418	1.66692
AT1G04170	49.0253	56.0932	56.6961	54.971
AT1G04171	0	0	0	0
AT1G04180	8.27253	9.61536	6.04841	7.14724
AT1G04190	14.0736	15.5541	14.2995	14.0933
AT1G04200	6.54991	6.94203	6.83267	6.18207
AT1G04210	10.0263	11.6106	13.0092	12.4937
AT1G04220	25.964	27.479	23.5684	28.9774
AT1G04230	4.96063	6.86846	5.71941	7.19781
AT1G04240	45.8433	55.1706	34.0226	46.0888
AT1G04250	91.1614	117.674	62.3827	79.08
AT1G04260	34.3444	39.0105	28.6768	28.4165
